summary,category,priority,suggested_response,tweet_id
The customer is expressing frustration regarding extremely slow service at Presthaven Sands without providing specific details.,General Query,Medium,I am very sorry to hear that you are experiencing such long delays at Presthaven Sands. Could you please provide a few more details about what service you are currently waiting on so we can look into this for you right away?,1350185
The customer is reporting poor network speeds and 4G connection issues in Glasgow City Centre.,Technical Issue,Medium,I am sorry to hear you are experiencing poor network speeds in Glasgow City Centre. Could you please share your full postcode so we can check if there is any ongoing work or an issue with the local network masts in your area?,116434
"The customer is reporting an unusual experience with support or service, but has not provided specific details about the issue.",General Query,Medium,Thank you for bringing this to our attention. I am sorry to hear that you had a strange experience. Could you please share a few more details about what occurred so we can look into this for you?,949902
The customer is asking about a real-time train delay on the Cross-City line outside Wylde Green station.,General Query,High,I apologize for the delay and frustration. We are checking current service updates for the Cross-City line near Wylde Green right now and will update you as soon as we have more information.,2217961
"The customer received a suspicious email receipt and is asking if it is legitimate, stating they did not make the purchase.",Billing,High,"Thank you for reaching out. Please do not click any links in suspicious emails. You can verify your real purchase history by logging into your account directly through our official website or app. If you do not see the charge there, the email is likely a phishing scam and can be safely ignored or reported.",235842
"The customer is angry that items were out of stock after redeeming points during a double-up promotion, feeling their points were wasted.",General Query,High,I sincerely apologize for the frustration caused by the lack of stock during our double-up promotion. I completely understand how disappointing it is to redeem your hard-earned points and not get the items you wanted. Please provide your account details so I can look into your transaction and assist you with refunding your points or checking item availability.,696105
"The customer is reporting a lack of response on previous inquiries (@115873, @116276) and expresses urgency due to needing to go to work.",General Query,Medium,I sincerely apologize for the delay in getting back to you. I am looking into references 115873 and 116276 right now to see what is happening and prioritize your request.,2618462
The customer is sharing positive feedback about the Marks & Spencer Christmas advertisement featuring Paddington Bear.,General Query,Medium,Thank you so much for the kind words! We are delighted to hear that you enjoyed seeing Paddington Bear in our Christmas advert.,2106151
The customer is unable to update the app or see runs logged after last Monday on iOS 10.3.3.,Technical Issue,Medium,"Thank you for reaching out. Please note that iOS 10.3.3 is a legacy operating system, which may impact app compatibility and syncing. First, try signing out and back into the app or restarting your device. If the issue continues, please check if your device supports a newer iOS update to maintain compatibility.",837410
Customer is experiencing severe data throttling at 23GB despite an expected limit increase to 50GB.,Technical Issue,High,I apologize for the frustration with your data speeds. You shouldn't be throttled at 23GB if your limit was set to 50GB. Please send us a direct message with your account details so we can investigate your data usage and resolve this issue right away.,2515734
