tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1350185,434847,True,Fri Oct 27 17:15:25 +0000 2017,Worlds slowest @116076 ever at Presthaven Sands. It’s absolutely ridiculous!,1350184,
116434,141936,True,Thu Nov 23 14:18:19 +0000 2017,Not the best speeds in Glasgow City Centre! Can’t even find a server on 4G #3G #4G #O2 https://t.co/0fDM0eBAP4,116433,
949902,334421,True,Sat Oct 21 19:44:30 +0000 2017,.@115911 &amp; @TMobileHelp I hung up and called support for my issue but alerting you because this was very strange &amp; seems like a problem.,949900,
2217961,647980,True,Fri Nov 10 08:13:17 +0000 2017,any idea what’s happening on xcity - at Wylde green and train is just sitting outside station,2217960,
235842,172176,True,Thu Oct 05 07:42:35 +0000 2017,"hi! Is this an official apple email? If so, I didn’t buy anything that’s on this receipt! 😱😱 https://t.co/hzlwX5xX87",235840,
696105,286072,True,Thu Nov 23 09:12:33 +0000 2017,"really angry, when you run a double up promotion why would you not replenish stock?! I redeemed my points on the first day and had to return at a later date to buy my things yet everything I had in mind was out of stock!!! Waste of the points I'd accumulated!!!!",696102,
2618462,271774,True,Fri Nov 17 15:34:20 +0000 2017,I understand but nobody is replying back.  Please I need to go to work. @115873  @116276,,2618461.0
2106151,621628,True,Tue Nov 07 20:22:57 +0000 2017,You can't go wrong when Paddington bear is in the @marksandspencer #ChristmasAdvert,2106150,
837410,319296,True,Fri Oct 13 16:38:16 +0000 2017,IOS 10.3.3. I see my runs until last monday but i can not update anymore,837411,837408.0
2515734,550518,True,Sun Oct 29 14:47:26 +0000 2017,"I though you raised the throttle limit to 50GB @115913, i'm just over 23gb and can't even load wallpapers now. https://t.co/lFxnyCDKqr",2515733,
2736921,766496,True,Mon Nov 20 20:15:04 +0000 2017,SERIOUSLY WHAT IN THE FUCKING FUCK?! SINCE WHEN DOES A PHONE COMPANY HAVE TO TAKE CONTROL OF YOUR TWITTER TO CALL?!! https://t.co/yMETLgJ4A5,2736920,
2487570,710470,True,Wed Nov 15 16:06:37 +0000 2017,"Hi! I paid for a first class ticket from slc to San Diego on the now delayed 8:25 flight today, new plane got me booted to economy cabin. Please advise... Golding",2487568,
1849301,192197,True,Wed Oct 18 20:09:12 +0000 2017,When is the new update coming.. Can't bear the battery drain. ios 11.0.3,1849299,
2390092,688530,True,Tue Nov 14 08:32:48 +0000 2017,"I didn't book anythg yet, bcs i'm waiting for other friend's visa. That's why i asked, i would like to book KUL-CAN for next week date",2390094,2390091.0
2876556,798533,True,Tue Nov 28 03:56:47 +0000 2017,how is it that you have had so many service issues in Phoenix AZ over the last 6 months....I’ll let you have the two due to the bad storms we had months ago....,2876555,
2297078,666873,True,Sun Nov 26 15:44:11 +0000 2017,"Will do, but donations would be a nice feature to add",2297077,2297079.0
2184104,639727,True,Thu Nov 09 16:23:22 +0000 2017,"It’s 11 am; you literally just opened you can’t possibly be annoyed by now, and even if you are keep it to yourself..",2184103,2184105.0
2928387,810142,True,Wed Nov 29 05:19:45 +0000 2017,I placed order on 19th and it need to be delivered on 27th and not delivered till now. spoke with escalation team few times and not taking this complaint seriously. I requested apology letter and there is no update,2928386,
2625909,741732,True,Mon Oct 30 23:12:39 +0000 2017,Is this what toppings on half a pizza should look like? Pathetic https://t.co/FxtXNJELUz,2625908,
508863,236877,True,Fri Dec 01 22:22:02 +0000 2017,"Or at least make the different versions more clear. For example, it's hard to tell which of these is the explicit version and which is the censored version. https://t.co/1ycAQlILq9",508864,508861.0
464532,225460,True,Fri Dec 01 03:36:23 +0000 2017,See... https://t.co/OUMstbFEpT,464530,464533.0
1916579,570861,True,Fri Oct 27 05:24:36 +0000 2017,She tried that and they said to call the police because this is a private contractor. We are deleting our Uber app.,1916581,1916578.0
773362,304740,True,Wed Oct 11 21:35:19 +0000 2017,You don't need my address. Same would be true anywhere in the country!,"773360,773367",773368.0
517783,239401,True,Fri Dec 01 23:09:11 +0000 2017,hi could you pls respond?? Have sent you a DM with my details too. Due to have shopping delivered by 11pm today and there's still no sign of the driver. Twice before I've had drivers not making this night slot. Can you find out what's going on pls?,517782,
1575684,485522,True,Tue Oct 17 06:28:41 +0000 2017,Next stop...Hogwarts,1575683,1575685.0
2493516,711804,True,Tue Nov 14 14:35:32 +0000 2017,can i get some help?,2493515,
617568,266538,True,Wed Oct 25 17:33:13 +0000 2017,appreciate difficulty in answering but is the 19.20 eus-man likely to be on time? Or is it stuck somewhere further up on line?,617567,617569.0
170667,141170,True,Fri Nov 24 21:26:53 +0000 2017,"I did reboot the modem and router, it does say I have 3 bars but it doesn’t load anything",170666,
749636,299194,True,Thu Nov 23 13:14:03 +0000 2017,"By the time it actually takes for @299193 to deliver my iPhone I could of made my own, literally taking the piss now",749626,
2509814,401124,True,Wed Nov 15 00:25:42 +0000 2017,"I own Tecmo Bowl Throwback and it's not showing up in the ready to install area and on the Xbox One store it says See Price, but on the Xbox 360 online marketplace it says already purchased. Probably because on the 360 store it's labeled 'Full Game - Tecmo Bowl Throwback'.","2509816,2509812",2509817.0
249151,175192,True,Thu Oct 05 16:45:01 +0000 2017,"I ordered it a few days ago, Sunday I think it was and for the PS4.",249150,249152.0
377477,205573,True,Mon Oct 09 03:06:31 +0000 2017,4x you failed to deliver on prime 2-day orders to Beverly Hills CA in less than 4 days.,377475,
2678653,753760,True,Sun Nov 19 13:35:39 +0000 2017,Well said Trevor it's a total disgrace!,,2678652.0
624024,268132,True,Wed Nov 22 17:44:02 +0000 2017,I've a relative getting onto this service at Tiverton Parkway (should depart 16.18) who said she's still at Tiverton at 17.30!  What on earth is happening with this service?,624023,624025.0
2356126,680653,True,Mon Nov 13 19:13:24 +0000 2017,challenge is complete but I cant get the reward https://t.co/ROLaWqqlBV,2356124,
165858,154511,True,Fri Nov 24 21:19:56 +0000 2017,Sorry I cursed at u xx,,165857.0
780560,190208,True,Sat Oct 07 20:28:59 +0000 2017,You had better hope to God you get a good host for @115783 otherwise you're screwed and @115783 won't do anything about it,780559,
2885305,799250,True,Sat Aug 19 10:52:00 +0000 2017,Still no response?,2885307,2885304.0
76478,821845,True,Thu Nov 30 14:26:24 +0000 2017,You should also fire the flight attendants would did NOTHING to help...just kept the drinks flowing getting the passenger more intoxicated.,,76472.0
494460,232912,True,Thu Nov 30 22:42:39 +0000 2017,"Following up, did you see a savings on your bill?",494459,494461.0
79634,133670,True,Thu Nov 30 12:52:54 +0000 2017,First I wanna thank god for getting me through today’s drama with @AmericanAir. Because you guys took 600 out of my account for a 100 seat exchange...6 different transactions...now I don’t have the money to book a return flight.,"79632,79636",
1481275,463938,True,Fri Nov 03 01:23:44 +0000 2017,arrived at nyc hotel after long flight to be told this is the size bed you have booked for 2 adults to stay in! Floor it is https://t.co/r46DVFGTJQ,1481273,
1816051,545545,True,Mon Oct 16 02:43:55 +0000 2017,The @Delta shuttle from LGA to BOS is currently delayed longer than the flight itself.,1816050,
2203096,644188,True,Sat Nov 25 15:45:11 +0000 2017,"Awful service @134170 Uxbridge. Tried to return a dress (tag still attached so can’t wear it, not fit for purpose). Lost my receipt but used my Debenhams card &amp; has statement with me. Staff told me noting they could do even though the item is faulty and can’t be worn. Disgrace",2203094,
2512499,716055,True,Mon Oct 30 06:51:20 +0000 2017,Looking forward to be @116331 customer hope you guys will be fair to us.,,2512497.0
2399437,392318,True,Fri Oct 20 11:04:50 +0000 2017,I’ll book my next flight with someone else if that’s what you call “customer service”,2399436,
